company,location,certification,datacenter
Fujitsu TDS GmbH,"Baden-Württemberg, Germany",Tier III Certification of Constructed Facility,Fujitsu TDS GmbH
Fujitsu TDS GmbH,"Baden-Württemberg, Germany",Tier III Certification of Design Documents,Fujitsu TDS GmbH
Galaxy Backbone Limited,"Abuja, Nigeria",Tier III Certification of Design Documents,Galaxy Backbone Limited
Galaxy Backbone Limited,"Kano, Nigeria",Tier IV Certification of Design Documents,Galaxy Backbone Limited
Gansu Zijin Cloud Big Data Developing Limited Company,"Jinchang City, China",Tier III Certification of Design Documents,Gansu Zijin Cloud Big Data Developing Limited Company
Garanti BBVA,"Istanbul, Turkey",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Garanti BBVA
GBM de Guatemala S.A.,"Ciudad de Guatemala, Guatemala",Tier III Certification of Design Documents,GBM de Guatemala S.A.
GDC Energy Group LLC,"Moscow, Russia",Tier III Certification of Design Documents,GDC Energy Group LLC
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Chengdu, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Beijing, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shenzhen, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Ulanqab, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Beijing, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Suzhou, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Ulanqab, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Guangzhou , China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Tianjin, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shenzhen, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Guangzhou, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shenzhen, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Beijing, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Chengdu, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shenzhen, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Langfang, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Shanghai, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Beijing, China",M&O Stamp Of Approval,GDS Holdings Limited
GDS Holdings Limited,"Beijing, China",M&O Stamp Of Approval,GDS Holdings Limited
Gemalto,"Chambray-les-Tours, France",Tier III Certification of Design Documents,Gemalto
Gemalto,"Chambray-les-Tours, France",Tier III Certification of Constructed Facility,Gemalto
General Authority for Statistics (GaStat),"Riyadh Riyadh, Saudi Arabia",Tier II Certification of Design Documents,General Authority for Statistics (GaStat)
General Authority for Statistics (GaStat),"Riyadh Riyadh, Saudi Arabia",Tier II Certification of Constructed Facility,General Authority for Statistics (GaStat)
General Electric Company,"Louisville Kentucky, United States",Tier III Certification of Design Documents,General Electric Company
Genesys Informatica S.r.l.,"Florence, Italy",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,Genesys Informatica S.r.l.
GEOCOM Uruguay S.A.,"Montevideo, Uruguay",Tier III Certification of Design Documents,GEOCOM Uruguay S.A.
Getnet Tecnologia,"Campo Bom Rio Grande do Sul, Brazil",Tier III Certification of Design Documents,Getnet Tecnologia
Global Data Hub LLC,"Jeddah, Saudi Arabia",Tier III Certification of Design Documents,Global Data Hub LLC
Global Data Hub LLC,"Jeddah, Saudi Arabia",Tier III Certification of Constructed Facility,Global Data Hub LLC
"Global Data Solutions Co., Ltd.","Shanghai, China",Tier IV Certification of Design Documents,"Global Data Solutions Co., Ltd."
Global Gate Serviços de Internet Ltda,"Blumenau, Brazil",Tier III Certification of Design Documents,Global Gate Serviços de Internet Ltda
Global Gate Serviços de Internet Ltda,"Blumenau, Brazil",Tier III Certification of Constructed Facility,Global Gate Serviços de Internet Ltda
Globalcom IDC Limited,"Navi Mumbai, India",Tier III Certification of Design Documents,Globalcom IDC Limited
Government,"Jawa Barat, Indonesia",Tier III Certification of Design Documents,Government
Government,Indonesia,Tier III Certification of Design Documents,Government
Government of Canada,"Ottawa Ontario, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Government of Canada
Government of Malta,"Santa Venera, Malta",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Government of Malta
Government of Sindh,"Karachi Sindh, Pakistan",Tier III Certification of Design Documents,Government of Sindh
Governo do Estado do Parana,"Curitiba, Brazil",Tier III Certification of Design Documents,Governo do Estado do Parana
Governo do Estado do Parana,"Curitiba, Brazil",Tier III Certification of Constructed Facility,Governo do Estado do Parana
GPX Global Systems,"Mumbai, India",Tier IV Certification of Design Documents,GPX Global Systems
Grain Silos & Flour Mills Organization,"Riyadh Riyadh, Saudi Arabia",Tier II Certification of Design Documents,Grain Silos & Flour Mills Organization
Green Data Services S.A.,"Tilaran Guanacaste, Costa Rica",Tier III Certification of Design Documents,Green Data Services S.A.
Green Datacenter AG,"Lupfig, Switzerland",Tier III Certification of Design Documents,Green Datacenter AG
Green Datacenter AG,"Lupfig, Switzerland",M&O Stamp Of Approval,Green Datacenter AG
Green Mountain AS,"Rennesoy, Norway",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Green Mountain AS
Green Mountain AS,"Rjukan Telemark, Norway",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Green Mountain AS
Groupement Orange Services (GOS),"Grand-Bassam, Cote d'Ivoire",Tier III Certification of Design Documents,Groupement Orange Services (GOS)
Groupement Orange Services (GOS),"Grand-Bassam, Cote d'Ivoire",Tier III Certification of Constructed Facility,Groupement Orange Services (GOS)
Grupo ASD SAS,"Bogota, Colombia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Grupo ASD SAS
Grupo Financiero Banorte,"Ciudad de México, Mexico",Tier III Certification of Design Documents,Grupo Financiero Banorte
Grupo Imagen Multimedia,"Estado de México, Mexico",Tier III Certification of Design Documents,Grupo Imagen Multimedia
Grupo Mutual Alajuela La Vivienda,"Alajuela, Costa Rica",Tier III Certification of Design Documents,Grupo Mutual Alajuela La Vivienda
Grupo Petrópolis,"Boituva Sao Paulo, Brazil",Tier III Certification of Design Documents,Grupo Petrópolis
Grupo Petrópolis,"Boituva Sao Paulo, Brazil",Tier III Certification of Constructed Facility,Grupo Petrópolis
Gtd,"Medellin, Colombia",Tier III Certification of Design Documents,Gtd
Gtd,"Medellin, Colombia",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Gtd
Gtd,"Santiago Metropolitan Region, Chile",Tier III Certification of Design Documents,Gtd
Gtd,"Santiago Metropolitan Region, Chile",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Gtd
Gtd,"Lima, Peru",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Gtd
Gtd,"Lima, Peru",Tier III Certification of Design Documents,Gtd
Gtd,"Santiago, Chile",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Gtd
Gtd,"Santiago, Chile",Tier III Certification of Design Documents,Gtd
Gtd,"Puerto Montt, Chile",Tier III Certification of Constructed Facility,Gtd
Gtd,"Puerto Montt, Chile",Tier III Certification of Constructed Facility,Gtd
Gtd,"Puerto Montt, Chile",Tier III Certification of Constructed Facility - Provisional,Gtd
Gtd,"Puerto Montt, Chile",Tier III Certification of Design Documents,Gtd
Gtd,"Santiago, Chile",Tier III Certification of Design Documents,Gtd
Gtd,"Santiago, Chile",Tier III Certification of Constructed Facility,Gtd
"Guangdong Cloudbase Technology Co., Ltd.","Guangzhou, China",M&O Stamp Of Approval,"Guangdong Cloudbase Technology Co., Ltd."
Guangdong Rural Credit Union (GDRC),"Foshan, China",Tier IV Certification of Design Documents,Guangdong Rural Credit Union (GDRC)
Guaranty Trust Bank (GTBank) PLC,"Lagos, Nigeria",Tier III Certification of Design Documents,Guaranty Trust Bank (GTBank) PLC
Gulf Data Hub FZCO,"Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Gulf Data Hub FZCO
Gulf Data Hub FZCO,"Dubai, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Gulf Data Hub FZCO
Halkbank,"Kacaeli, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Halkbank
Harris Corporation,"Harrisonburg Virginia, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Harris Corporation
Hatteland,"Nedre Vats Rogaland, Norway",Tier IV Certification of Design Documents,Hatteland
HDC Data Centre,"Selangor, Malaysia",Tier III Certification of Design Documents,HDC Data Centre
Health Care Services Corporation (HCSC),"Chicago Illionois, United States",M&O Stamp Of Approval,Health Care Services Corporation (HCSC)
hellospoke,"Louisville Kentucky, United States",Tier II Certification of Design Documents,hellospoke
High Technology Technopark IT-Park,"Kazan, Russia",Tier III Certification of Design Documents,High Technology Technopark IT-Park
Highmark,"Harrisburg Pennsylvania, United States",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,Highmark
HostDime Brasil,"João Pessoa, Brazil",Tier III Certification of Design Documents,HostDime Brasil
HostDime Colombia,Colombia,Tier IV Certification of Design Documents,HostDime Colombia
Housing Bank for Trade and Finance,"Amman, Jordan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Housing Bank for Trade and Finance
Hrvatski Telekom d.d.,"Zagreb, Croatia",Tier III Certification of Design Documents,Hrvatski Telekom d.d.
HTC International Telecommunication JSC (HTC-ITC),"Hanoi, Vietnam",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,HTC International Telecommunication JSC (HTC-ITC)
Hua Nan Bank,"New Taipei City, Taiwan",Tier III Certification of Design Documents,Hua Nan Bank
Huatai Securities,"Nanjing, China",M&O Stamp Of Approval,Huatai Securities
"Huawei Technologies Co., Ltd","Langfang, China",M&O Stamp Of Approval,"Huawei Technologies Co., Ltd"
"Huawei Technologies Co., Ltd","Shenzhen, China",Tier III Certification of Design Documents,"Huawei Technologies Co., Ltd"
"HUB Advanced Networks, LLC","Carolina, Puerto Rico",Tier III Certification of Design Documents,"HUB Advanced Networks, LLC"
Hunan Broadcasting System,"Changsha, China",Tier III Certification of Design Documents,Hunan Broadcasting System
"Hunan CloudNest Tech Co., Ltd","Chenzhou, China",M&O Stamp Of Approval,"Hunan CloudNest Tech Co., Ltd"
Hunan Datastone Co. Ltd,"Changsha, China",Tier III Certification of Design Documents,Hunan Datastone Co. Ltd
Hyundai AutoEver,"Gyeonggi, Korea, South",Tier III Certification of Design Documents,Hyundai AutoEver
Icatu Seguros,"Rio de Janeiro, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Icatu Seguros
ICICI Bank Limited,"Mumbai Maharashtra, India",Tier III Certification of Design Documents,ICICI Bank Limited
ICICI Bank Limited,"Mumbai Maharashtra, India",Tier III Certification of Constructed Facility,ICICI Bank Limited
ICICI Bank Limited,"Jaipur, India",Tier III Certification of Design Documents,ICICI Bank Limited
ICOLO LIMITED,"Nairobi, Kenya",Tier III Certification of Design Documents,ICOLO LIMITED
Ideas Gloris S.A.,"San Jose, Costa Rica",M&O Stamp Of Approval,Ideas Gloris S.A.
Ideas Gloris S.A.,"San Jose, Costa Rica",M&O Stamp Of Approval,Ideas Gloris S.A.
Ideas Gloris S.A.,"San Jose, Costa Rica",Tier III Certification of Design Documents,Ideas Gloris S.A.
Ideas Gloris S.A.,"San Jose, Costa Rica",Tier III Certification of Design Documents,Ideas Gloris S.A.
Ideas Gloris S.A.,"San Jose, Costa Rica",Tier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,Ideas Gloris S.A.
Identity & Citizenship Authority,"Abu Dhabi, United Arab Emirates",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Identity & Citizenship Authority
IFX Networks Colombia S.A.S.,"Bogotá, Colombia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,IFX Networks Colombia S.A.S.
IGA Havalimanı İşletmesi A.Ş,"Istanbul, Turkey",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,IGA Havalimanı İşletmesi A.Ş
Imam Abdulrahman Bin Faisal University (IAU),"Dammam, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Imam Abdulrahman Bin Faisal University (IAU)
INDITEX,"Arteixo A Coruna, Spain",Tier IV Certification of Design Documents,INDITEX
