company,location,certification,datacenter
BBVA,"Madrid, Spain",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,BBVA
BBVA,"Atizapan de Zaragoza, Mexico",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,BBVA
BBVA,"Atizapan de Zaragoza, Mexico",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,BBVA
BBVA,"Lima, Peru",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,BBVA
BBVA,"Atizapán de Zaragoza, Mexico",Tier IV Gold Certification of Operational Sustainability,BBVA
BBVA,"Madrid , Spain",M&O Stamp Of Approval,BBVA
BBVA,"Madrid, Spain",M&O Stamp Of Approval,BBVA
BBVA,"Madrid, Spain",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Silver Certification of Operational Sustainability,BBVA
BDx Data Centers,"Nanjing, China",Tier III Certification of Design Documents,BDx Data Centers
Beijing Welfare Lottery,"Beijing, China",M&O Stamp Of Approval,Beijing Welfare Lottery
"ZhongYunXin Shunyi Data Technology Co., Ltd.","Beijing, China",Tier IV Certification of Design Documents,"ZhongYunXin Shunyi Data Technology Co., Ltd."
Bell - NHS,"Ville St-Laurent Quebec, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Bell - NHS
Bell Aliant,"Saint John New Brunswick, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Bell Aliant
Bell Canada,"Ottawa / Gatineau Region, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Bell Canada
Bhumishq Teleserve LTD,"Ebene, Mauritius",Tier IV Certification of Design Documents,Bhumishq Teleserve LTD
Bhutan Telecom Ltd,"Phuentsholing, Bhutan",Tier III Certification of Design Documents,Bhutan Telecom Ltd
bKash Limited,"Dhaka, Bangladesh",Tier III Certification of Design Documents,bKash Limited
BlackRock,"Getzville New York, United States",M&O Stamp Of Approval,BlackRock
BlackRock,"East Wenatchee Washington, United States",M&O Stamp Of Approval,BlackRock
Blue Cross and Blue Shield of Alabama,"Birmingham Alabama, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Blue Cross and Blue Shield of Alabama
